text,pengaksesan,transaksi,akun,cs,performa
admin ovo becus kerja konfirmasi kehilangan nomor suruh megirimkan selfi pegang ktp turuti over admin meminta persyaratan kerja lebih baik perlu kerja nomor call center hubugi aplikasi kesini parah pelayanan kurang baik kurang cerdas saldo akun persulit kriminal kah,0.0,1.0,1.0,0.0,0.0
salah pengguna kecewa ovo udah top up token tengah malam token masuk adm bilang ditunggu jam maaf atas ketidaknyamanannya masa diminta seharian gelap udah fee mahal jelas lebih baik pakai mbanking gerai isi ulang jelas masuk,0.0,1.0,0.0,0.0,0.0
jelek coba pakai ovo transfer rekening bank status berhasil uang masuk rekening meminta pertanggung jawaban suruh menunggu konfirmasi tahu tahu akun blokir otomatis aplikasi sampah merugukin orang semoga tahun bangkrut,0.0,1.0,1.0,0.0,0.0
cepat berikan tindakan perbaikan server transfer pengguna ovo semalam pagi melakukan transfer pembayaran memalukan waktu tindakan apapun pihak ovo kipak,0.0,1.0,0.0,0.0,1.0
ayo hapus ovo skrgg verivikasi dari tadi nomor masuk merugikan pakai dana bersahabat habis transfer dana ovo merugikan duit masuk,0.0,1.0,0.0,0.0,0.0
aduh kemarin mengisi grab pakai ovo ribu pagi potongan pfi mega life merasa berlangganan apapun grab cek riwayat satupun tagihan terpotong penjelasannya,0.0,1.0,0.0,0.0,0.0
update upgrade akun premium sesuai prosedur ditulis mulai foto ktp asli gambar jelas blur tetap suruh diulang diperbaiki terima,0.0,0.0,1.0,0.0,0.0
aplikasi pengguna ovo premier mendapatkan transferan ovo jam saldo bertambah aplikasi bujang downlod rugi uang hilang ovo senang hubungi no,0.0,1.0,0.0,0.0,0.0
sumpah aplikasi jelas upgrate foto ktp tolak ktp mulus cacatnya selanjutnya hapus akun tambah ruwet pokoknya aplikasi ribet,0.0,0.0,1.0,0.0,0.0
penanganan lambat salah masukkan pin gara handphone ngebleng tlfn cs katanya bantu sore kabar lumayan saldo saldo hasil menarik ojol beli susu anak dan lain-lain respon,1.0,1.0,0.0,1.0,1.0
telepon cs habis pulsa hasil katanya tanggal lahir nik disuruh rubah nik nik sifatnya individu ganti datang disduk capil kiamat gbisa diganti cs membantu upgrade premier susah recomended banget hasil,0.0,1.0,1.0,1.0,0.0
cs cepat balas email terkait pengaduan saldo ovo cash top up saldo top up tf bank cimb niaga notif top up berhasil saldo estimasi pemotongan biaya top up,0.0,1.0,0.0,1.0,1.0
melakukan upgrade ovo premier gagal uplod foto ktp kondisi ktp baik pencahayaan baik diperbaiki sistemnya aplikasi mempermudah penggunanya maaf bintang,0.0,0.0,1.0,0.0,0.0
ovo bertanggung jawab rugi pelanggan awal transfer dana masuk token voucer saldo kepotong udah lapor bukti udah kirim berhari kabar kayak proses uang miliar makan uang pelanggan malu nama besar ovo pelayanan manusia sabar batasnya,0.0,1.0,0.0,0.0,0.0
data pribadi dihapuskan pihak menyalah gunakan data pribadi tanggung jawab segan segan melaporkan pihak berwajib pelayanannya lambat masa trnsafer unag betul,0.0,0.0,0.0,0.0,1.0
ovo udah mulai cacat kirim uang akun dana bank mulai bri bni permata baca bank keterngn gagal parah cacat ovo,0.0,1.0,1.0,0.0,0.0
bintang satu pertanyaan daftar pilih upgrade foto ktp foto berkali jelas mengulang terus tetap ktp ovo dipakai,0.0,0.0,1.0,0.0,0.0
kali top up membeli paket lewat ovo login akun terblokir untuk mengembalikannya telepon cs sayang pulsa jadi malas pakai ovo mening pakai dana ribet,1.0,1.0,1.0,1.0,0.0
aplikasi pembohong penipu pakai aplikasi sialan untuk menyimpan bertransaksi aplikasi jujurv ovo akun blokir uang kembali,0.0,1.0,1.0,0.0,0.0
sungguh mengecewakan pembelian pulsa berhasil cancelled sistim saldo kembali pengurusan berbelit diikuti jam tetap lanjut minat ovo pusat bantuan membantu,0.0,1.0,0.0,0.0,0.0
bingung app uang ketanam respon lambat niat app cara cari untungnya orang pakai complain langsung action cs bijak tahu kebutuhan urgent teman teman uangnya tertahan didalam tidak tahu maaf benar benar masalah urgent terus tanggung jawab pihak ovo noted very very very very very recommended app,0.0,1.0,0.0,1.0,1.0
top up ribu masuk ovo top up doptong adm potongan membuat berhenti pakai ovo ulasan hapus teman ulasannya hapus pihak ovo kali jauhi ovo,0.0,1.0,0.0,0.0,0.0
kemarin transfer katanya melebihi batas transfer satu kali transfer kali tf hubungi cs aja jawaban solusi min mulay ragu apl,0.0,1.0,0.0,1.0,0.0
susah untuk verifikasi mencoba untuk verifikasi gagal terus foto selfie diterima puluhan kali mencoba gagal terus dipersulit foto benar pencahayaan pas aksesoris cepat gagal terus menangis rasanya sulit butuh untuk membayar keperluan kampus aplikasi,0.0,0.0,1.0,0.0,1.0
beli pulsa ribu saldopun kepotong jam masuk terus history transaksi kelanjutan min,0.0,1.0,0.0,0.0,0.0
bilang ya orang bilang aplikasi sulit pakai ovo aman tidak ada masalah untuk transfer cepat pakai biaya kayak dana biaya rupiah,0.0,1.0,0.0,0.0,1.0
kecewa banget ovo blokir surat atas materai jelas akun bukti data kirim tetap bae surat pernyataan seribet ovo,0.0,0.0,1.0,0.0,0.0
now watching upgrade ovo premier susah alesannya terkendala foto blur kurang pencahayaan kurang jelas udah jelas sejelas jelas foto koneksi dpake ovo pentium jaman dulu kayak aplikasi tetangga gampang mudah verifikasi apapun aneh ovo,0.0,0.0,1.0,0.0,0.0
bintang turunin ovo aplikasi bagus jadi gagu transfer satu untuk operator untuk bicara customer customer punya pulsa terima,0.0,1.0,0.0,0.0,0.0
lebih baik pakai aplikasi deh biaya adminnya dijamin gratis gak kayak aplikasi pakai biaya admin top up wajarkan menarik pindahin bank tetap kena biaya rupiah hedeuh lebih baik pakai aplikasi deh,0.0,1.0,0.0,0.0,0.0
