text,pengaksesan,transaksi,akun,cs,performa
ganti handphone download sakuku masuk akun register kirim sms register masuk aneh aplikasi punya akun perlu register tinggal sign pilihan sign solusinya,1.0,0.0,1.0,0.0,0.0
transaksi gagal saldo terpotong beginih tahu saldo balik pertama hilang juta ribu hadeh,0.0,1.0,0.0,0.0,0.0
suka aplikasi sakuku salah pasword terus pencet registrasi ulang pas registrasi saldonya jadi hilang udah lapor pihak baca katanya uang hangus datanya uang pulihkan benar jelas baca,0.0,1.0,0.0,0.0,0.0
ok kecuali cara top up susah wallet indonesia pengembangan sakuku setengah hati dikembangkan potensi bagus nama baca,0.0,1.0,0.0,0.0,0.0
kembalikan uang laporan kehilangan handphone ganti handphone nomor login sakuku saldo jadi nol keamanan laporan halo baca untuk blokir urus knapa jadi nol aktifin kantor cabang lho mengecewakan mengecewakan saldo sakuku lho mengurusi kambalikan uang potongan terima,1.0,1.0,0.0,0.0,0.0
gak masuk gara lupa pin ulang masuk register terus kirim sms berulang tetap gak intinya lupa waktu register seblumnya tolg solusinya bosku uang dalamnya,1.0,1.0,0.0,0.0,0.0
min registrasi gagal terus coba kali pulsa kepotong terus bantu min,0.0,1.0,0.0,0.0,0.0
kecewa banget uang hilang juta alasan penginputan salah masukkan nomor handphone saldo kembali saldo bodoh,0.0,1.0,0.0,0.0,0.0
kecewa full membeli pulsa lewat sakuku masuk detik email hubungi kirim bukti masuk pulsa beli,0.0,1.0,0.0,1.0,0.0
bahaya aplikasi instal saldo jadi nol riwayat transaksi pakai nomor rawan auto hangus ckckck,0.0,1.0,0.0,0.0,0.0
aplikasi anggap bantu tarik uang aplikasi mudah berbelit belitt proses dana ambil hasil perusahaan jaalifestyle eehhaa,0.0,1.0,0.0,0.0,0.0
bagus praktis mudah gampang transaksi sakuku dantranfer gmpang norek baca isi identitas sinkron data rek baca,0.0,1.0,0.0,0.0,0.0
kecewa atas aplikasi sakuku tranfer masuk rekening tujuan saldo sakuku berkurang pas laporan cabang baca suruh laporan sehabis suruh cabang perbaiki aplikasi customer merasa puas aplikasi sakuku terimakasih,0.0,1.0,0.0,0.0,0.0
gagal masuk berulang kali sms verifikasi gagal pengiriman sms berhasil diterima kembali aplikasi sakuku loading masuk keterangan sms verifikasi gagal kirim ulang terima sms klik lanjut dibantu coba handphone xiaomi kartu simpati telkomsel,0.0,0.0,1.0,0.0,0.0
tambah jelas isi pulsa sakuku saldo berkurang pulsa masuk terus kemana lari saldo penjela an cara cari keuntungan bos,0.0,1.0,0.0,0.0,0.0
kecewa aplikasi pembelian voucher permainan berhasil pengembalian dana telepon pihak baca tetap uang dikembalikan hitam beli kunjung terima kasih aplikasi tipu uang orang,0.0,1.0,0.0,0.0,0.0
promo sayang bulan terakhir bayar belanja alfamidi kebon jeruk masalah gagal coba pagi siang sore untuk promo tanggal waktu pakai sakuku masalah pakai sakuku plus bayar transaksi informasi permasalahan,0.0,1.0,0.0,0.0,0.0
aplikasi login susah isi data datanya lupa daftar login pakai otp saldo raib ratusan ribu terimakasih sakuku,1.0,1.0,0.0,0.0,0.0
aplikasi registrasi jadi orang register pakai kartu pasca bayar memakai sim card handphone root jailbrek jaringan ok ditempatkan slot sim balasannya bermutu memberikan informasi akurat terima,1.0,0.0,0.0,0.0,0.0
